build_id,timestamp,code_churn,complexity_score,test_pass_rate,team_name
B1518,2025-04-14,39,13,0.964,Smt_Control
B1519,2025-04-14,93,17,1.0,Smt_Data
B1520,2025-04-15,73,23,0.993,Smt_Process
B1521,2025-04-15,96,13,0.939,Smt_Data
B1522,2025-04-15,84,11,1.0,Legacy_Kernel
B1523,2025-04-15,52,11,1.0,Legacy_Kernel
B1524,2025-04-15,36,13,1.0,Smt_Process
B1525,2025-04-16,86,15,1.0,Legacy_Kernel
B1526,2025-04-16,94,12,0.909,Smt_Control
B1527,2025-04-16,78,15,1.0,Smt_Process
B1528,2025-04-16,64,18,1.0,Smt_Process
B1529,2025-04-16,270,28,1.0,Smt_Process
B1530,2025-04-17,77,24,1.0,Smt_Control
B1531,2025-04-17,41,11,1.0,Smt_Process
B1532,2025-04-17,886,70,0.988,Smt_Process
B1533,2025-04-17,48,20,1.0,Smt_Control
B1534,2025-04-17,54,10,0.997,Legacy_Kernel
B1535,2025-04-18,60,23,1.0,Smt_Control
B1536,2025-04-18,375,36,0.906,Legacy_Kernel
B1537,2025-04-18,78,16,0.996,Legacy_Kernel
B1538,2025-04-18,75,14,0.989,Smt_Process
B1539,2025-04-18,43,11,1.0,Smt_Data
B1540,2025-04-19,21,18,1.0,Smt_Data
B1541,2025-04-19,82,14,1.0,Smt_Process
B1542,2025-04-19,65,9,1.0,Legacy_Kernel
B1543,2025-04-19,519,53,0.89,Smt_Process
B1544,2025-04-19,28,17,1.0,Legacy_Kernel
B1545,2025-04-20,426,33,0.934,Smt_Control
B1546,2025-04-20,865,75,0.839,Smt_Control
B1547,2025-04-20,20,13,1.0,Legacy_Kernel
B1548,2025-04-20,32,18,1.0,Smt_Process
B1549,2025-04-20,95,19,1.0,Legacy_Kernel
B1550,2025-04-21,335,36,0.881,Smt_Data
B1551,2025-04-21,48,9,1.0,Smt_Control
B1552,2025-04-21,58,12,0.965,Smt_Data
B1553,2025-04-21,46,16,1.0,Smt_Control
B1554,2025-04-21,25,11,0.997,Smt_Control
B1555,2025-04-22,61,16,1.0,Smt_Process
B1556,2025-04-22,67,11,0.87,Smt_Data
B1557,2025-04-22,52,22,0.992,Smt_Control
B1558,2025-04-22,14,11,0.908,Smt_Data
B1559,2025-04-22,286,26,0.993,Smt_Process
B1560,2025-04-23,33,17,0.932,Smt_Control
B1561,2025-04-23,95,14,1.0,Smt_Process
B1562,2025-04-23,39,13,0.977,Legacy_Kernel
B1563,2025-04-23,54,14,0.798,Smt_Process
B1564,2025-04-23,808,61,0.807,Smt_Process
B1565,2025-04-24,79,22,1.0,Legacy_Kernel
B1566,2025-04-24,43,14,0.902,Smt_Process
B1567,2025-04-24,32,7,0.951,Smt_Control
B1568,2025-04-24,59,10,0.952,Smt_Process
B1569,2025-04-24,82,14,1.0,Smt_Process
B1570,2025-04-25,96,25,0.95,Smt_Process
B1571,2025-04-25,15,6,1.0,Smt_Process
B1572,2025-04-25,65,12,0.971,Smt_Control
B1573,2025-04-25,10,9,1.0,Smt_Data
B1574,2025-04-25,40,11,1.0,Smt_Process
B1575,2025-04-26,378,41,0.901,Smt_Data
B1576,2025-04-26,14,8,0.93,Smt_Process
B1577,2025-04-26,34,7,1.0,Smt_Process
B1578,2025-04-26,38,18,0.891,Smt_Process
B1579,2025-04-26,820,67,0.865,Smt_Process
B1580,2025-04-27,64,18,1.0,Smt_Process
B1581,2025-04-27,229,22,0.997,Smt_Data
B1582,2025-04-27,611,55,0.958,Smt_Data
B1583,2025-04-27,70,9,0.953,Legacy_Kernel
B1584,2025-04-27,18,7,1.0,Smt_Control
B1585,2025-04-28,91,25,0.895,Smt_Process
B1586,2025-04-28,13,19,0.926,Smt_Process
B1587,2025-04-28,711,56,0.963,Smt_Data
B1588,2025-04-28,41,12,0.975,Smt_Control
B1589,2025-04-28,60,23,1.0,Smt_Data
B1590,2025-04-29,427,42,0.907,Smt_Data
B1591,2025-04-29,531,47,0.839,Smt_Process
B1592,2025-04-29,64,16,0.913,Legacy_Kernel
B1593,2025-04-29,867,65,0.937,Smt_Process
B1594,2025-04-29,44,11,0.978,Legacy_Kernel
B1595,2025-04-30,493,51,0.948,Smt_Control
B1596,2025-04-30,28,6,0.989,Smt_Control
B1597,2025-04-30,35,17,0.955,Smt_Data
B1598,2025-04-30,37,20,1.0,Smt_Control
B1599,2025-04-30,212,26,1.0,Smt_Data
B1600,2025-05-01,95,25,0.971,Smt_Process
B1601,2025-05-01,43,18,1.0,Smt_Process
B1602,2025-05-01,32,7,1.0,Smt_Data
B1603,2025-05-01,86,11,0.992,Smt_Control
B1604,2025-05-01,75,22,1.0,Smt_Process
B1605,2025-05-02,39,21,1.0,Smt_Control
B1606,2025-05-02,340,38,0.899,Smt_Control
B1607,2025-05-02,12,15,0.975,Smt_Process
B1608,2025-05-02,32,13,0.96,Legacy_Kernel
B1609,2025-05-02,35,12,0.977,Smt_Data
B1610,2025-05-03,56,17,1.0,Smt_Control
B1611,2025-05-03,705,60,0.918,Legacy_Kernel
B1612,2025-05-03,740,67,0.992,Legacy_Kernel
B1613,2025-05-03,44,7,0.98,Smt_Control
B1614,2025-05-03,10,16,1.0,Smt_Data
B1615,2025-05-04,42,10,1.0,Smt_Process
B1616,2025-05-04,73,18,1.0,Smt_Control
B1617,2025-05-04,24,13,1.0,Smt_Data
B1618,2025-05-04,30,18,1.0,Smt_Data
B1619,2025-05-04,86,11,1.0,Legacy_Kernel
B1620,2025-05-05,47,13,0.946,Smt_Data
B1621,2025-05-05,42,20,0.943,Smt_Data
B1622,2025-05-05,81,22,0.996,Smt_Control
B1623,2025-05-05,89,24,1.0,Legacy_Kernel
B1624,2025-05-05,35,21,0.934,Smt_Data
B1625,2025-05-06,478,49,0.89,Legacy_Kernel
B1626,2025-05-06,65,23,1.0,Legacy_Kernel
B1627,2025-05-06,65,18,0.961,Smt_Process
B1628,2025-05-06,99,17,1.0,Smt_Control
B1629,2025-05-06,62,10,0.971,Legacy_Kernel
B1630,2025-05-07,39,12,0.947,Legacy_Kernel
B1631,2025-05-07,51,14,1.0,Smt_Control
B1632,2025-05-07,43,10,0.992,Smt_Data
B1633,2025-05-07,285,31,0.888,Smt_Data
B1634,2025-05-07,57,20,1.0,Legacy_Kernel
B1635,2025-05-08,54,11,0.911,Smt_Control
B1636,2025-05-08,486,49,0.923,Smt_Data
B1637,2025-05-08,79,21,0.981,Smt_Process
B1638,2025-05-08,610,51,0.854,Smt_Process
B1639,2025-05-08,621,57,0.902,Smt_Control
B1640,2025-05-09,57,15,0.888,Smt_Process
B1641,2025-05-09,86,21,1.0,Smt_Process
B1642,2025-05-09,94,19,0.941,Smt_Process
B1643,2025-05-09,90,15,0.988,Smt_Data
B1644,2025-05-09,896,75,0.894,Smt_Control
B1645,2025-05-10,599,44,0.901,Smt_Process
B1646,2025-05-10,40,18,0.991,Smt_Process
B1647,2025-05-10,656,48,0.927,Legacy_Kernel
B1648,2025-05-10,89,16,1.0,Smt_Data
B1649,2025-05-10,83,12,0.985,Smt_Control
B1650,2025-05-11,98,24,0.989,Legacy_Kernel
B1651,2025-05-11,21,9,0.967,Legacy_Kernel
B1652,2025-05-11,334,31,0.924,Smt_Data
B1653,2025-05-11,283,26,0.886,Legacy_Kernel
B1654,2025-05-11,99,17,0.989,Smt_Data
B1655,2025-05-12,69,20,0.907,Smt_Process
B1656,2025-05-12,40,18,1.0,Smt_Data
B1657,2025-05-12,53,13,0.929,Smt_Data
B1658,2025-05-12,41,8,1.0,Smt_Process
B1659,2025-05-12,85,24,0.937,Smt_Control
B1660,2025-05-13,918,75,0.96,Smt_Data
B1661,2025-05-13,53,21,0.924,Legacy_Kernel
B1662,2025-05-13,350,34,0.936,Smt_Data
B1663,2025-05-13,71,15,1.0,Smt_Control
B1664,2025-05-13,45,12,0.946,Legacy_Kernel
B1665,2025-05-14,41,14,0.939,Legacy_Kernel
B1666,2025-05-14,45,21,1.0,Legacy_Kernel
B1667,2025-05-14,552,53,0.829,Smt_Control
B1668,2025-05-14,99,21,1.0,Smt_Control
B1669,2025-05-14,249,30,0.923,Smt_Data
B1670,2025-05-15,65,18,0.99,Smt_Control
B1671,2025-05-15,85,18,1.0,Legacy_Kernel
B1672,2025-05-15,60,12,0.92,Legacy_Kernel
B1673,2025-05-15,76,12,1.0,Smt_Process
B1674,2025-05-15,45,15,0.987,Smt_Control
B1675,2025-05-16,625,56,0.998,Smt_Process
B1676,2025-05-16,54,8,0.986,Smt_Process
B1677,2025-05-16,98,13,0.993,Smt_Data
B1678,2025-05-16,67,13,1.0,Smt_Data
B1679,2025-05-16,917,67,0.9,Smt_Control
B1680,2025-05-17,877,71,0.918,Smt_Control
B1681,2025-05-17,13,5,0.975,Smt_Process
B1682,2025-05-17,56,17,0.976,Smt_Control
B1683,2025-05-17,223,21,0.978,Smt_Data
B1684,2025-05-17,75,21,1.0,Legacy_Kernel
B1685,2025-05-18,20,19,1.0,Smt_Control
B1686,2025-05-18,63,13,1.0,Smt_Control
B1687,2025-05-18,36,10,1.0,Smt_Data
B1688,2025-05-18,371,29,1.0,Smt_Process
B1689,2025-05-18,635,61,0.913,Legacy_Kernel
B1690,2025-05-19,40,9,0.985,Smt_Process
B1691,2025-05-19,576,49,0.792,Legacy_Kernel
B1692,2025-05-19,80,11,0.965,Smt_Data
B1693,2025-05-19,856,66,0.955,Smt_Control
B1694,2025-05-19,32,14,0.961,Smt_Data
B1695,2025-05-20,85,19,1.0,Smt_Data
B1696,2025-05-20,32,12,1.0,Smt_Control
B1697,2025-05-20,19,18,1.0,Smt_Control
B1698,2025-05-20,38,10,0.992,Legacy_Kernel
B1699,2025-05-20,86,10,0.962,Smt_Data
B1700,2025-05-21,81,14,1.0,Smt_Data
B1701,2025-05-21,88,24,0.959,Smt_Data
B1702,2025-05-21,53,11,0.901,Legacy_Kernel
B1703,2025-05-21,15,14,1.0,Legacy_Kernel
B1704,2025-05-21,92,15,0.982,Smt_Data
B1705,2025-05-22,91,17,0.994,Smt_Data
B1706,2025-05-22,599,55,0.859,Smt_Process
B1707,2025-05-22,750,68,0.942,Legacy_Kernel
B1708,2025-05-22,24,18,0.952,Smt_Process
B1709,2025-05-22,62,21,0.911,Legacy_Kernel
B1710,2025-05-23,26,8,0.969,Smt_Control
B1711,2025-05-23,17,9,1.0,Smt_Data
B1712,2025-05-23,22,7,0.948,Legacy_Kernel
B1713,2025-05-23,97,18,0.961,Smt_Process
B1714,2025-05-23,75,14,1.0,Smt_Process
B1715,2025-05-24,92,15,0.933,Smt_Process
B1716,2025-05-24,33,21,0.992,Smt_Process
B1717,2025-05-24,38,16,0.956,Smt_Process
B1718,2025-05-24,49,17,0.966,Smt_Data
B1719,2025-05-24,30,11,0.998,Smt_Control
B1720,2025-05-25,784,64,0.871,Legacy_Kernel
B1721,2025-05-25,44,8,0.947,Smt_Process
B1722,2025-05-25,10,5,1.0,Smt_Data
B1723,2025-05-25,35,20,0.937,Smt_Control
B1724,2025-05-25,62,15,1.0,Smt_Data
B1725,2025-05-26,416,40,0.926,Legacy_Kernel
B1726,2025-05-26,259,28,1.0,Smt_Data
B1727,2025-05-26,71,15,0.951,Smt_Control
B1728,2025-05-26,457,40,0.906,Smt_Process
B1729,2025-05-26,378,39,0.831,Legacy_Kernel
B1730,2025-05-27,27,15,0.99,Smt_Control
B1731,2025-05-27,479,38,0.909,Smt_Process
B1732,2025-05-27,41,17,1.0,Smt_Control
B1733,2025-05-27,34,21,1.0,Smt_Process
B1734,2025-05-27,62,15,0.947,Smt_Process
B1735,2025-05-28,82,15,0.96,Legacy_Kernel
B1736,2025-05-28,41,16,0.901,Smt_Process
B1737,2025-05-28,37,12,0.881,Smt_Process
B1738,2025-05-28,49,18,1.0,Legacy_Kernel
B1739,2025-05-28,75,24,1.0,Smt_Process
B1740,2025-05-29,86,15,0.998,Smt_Data
B1741,2025-05-29,19,13,0.949,Legacy_Kernel
B1742,2025-05-29,866,66,0.874,Legacy_Kernel
B1743,2025-05-29,67,21,1.0,Smt_Data
B1744,2025-05-29,94,14,0.961,Smt_Data
B1745,2025-05-30,27,15,1.0,Smt_Process
B1746,2025-05-30,92,17,1.0,Smt_Process
B1747,2025-05-30,690,56,0.828,Smt_Process
B1748,2025-05-30,69,22,1.0,Smt_Process
B1749,2025-05-30,98,24,1.0,Legacy_Kernel
B1750,2025-05-31,67,19,1.0,Smt_Process
B1751,2025-05-31,85,19,0.902,Smt_Process
B1752,2025-05-31,75,13,1.0,Smt_Control
B1753,2025-05-31,32,9,0.993,Smt_Process
B1754,2025-05-31,93,15,0.99,Smt_Process
B1755,2025-06-01,74,11,1.0,Smt_Process
B1756,2025-06-01,80,20,0.957,Legacy_Kernel
B1757,2025-06-01,16,7,0.947,Smt_Control
B1758,2025-06-01,84,23,0.968,Legacy_Kernel
B1759,2025-06-01,99,12,0.959,Smt_Control
B1760,2025-06-02,14,7,0.963,Smt_Data
B1761,2025-06-02,46,9,1.0,Smt_Data
B1762,2025-06-02,21,19,0.938,Smt_Process
B1763,2025-06-02,71,11,1.0,Smt_Control
B1764,2025-06-02,89,23,0.954,Smt_Control
B1765,2025-06-03,85,22,0.968,Smt_Control
B1766,2025-06-03,55,21,0.959,Smt_Control
B1767,2025-06-03,61,22,0.977,Smt_Control
B1768,2025-06-03,438,46,1.0,Legacy_Kernel
B1769,2025-06-03,19,9,1.0,Legacy_Kernel
B1770,2025-06-04,699,53,0.918,Smt_Process
B1771,2025-06-04,19,17,0.964,Smt_Control
B1772,2025-06-04,69,12,0.999,Smt_Control
B1773,2025-06-04,55,10,1.0,Smt_Data
B1774,2025-06-04,57,14,1.0,Smt_Control
B1775,2025-06-05,38,15,1.0,Legacy_Kernel
B1776,2025-06-05,15,12,0.971,Legacy_Kernel
B1777,2025-06-05,526,47,0.874,Smt_Data
B1778,2025-06-05,56,9,1.0,Legacy_Kernel
B1779,2025-06-05,89,13,1.0,Legacy_Kernel
B1780,2025-06-06,26,6,1.0,Smt_Process
B1781,2025-06-06,50,16,1.0,Smt_Process
B1782,2025-06-06,52,17,0.921,Smt_Control
B1783,2025-06-06,22,12,0.93,Legacy_Kernel
B1784,2025-06-06,36,19,1.0,Smt_Control
B1785,2025-06-07,95,21,1.0,Smt_Data
B1786,2025-06-07,86,17,0.998,Smt_Control
B1787,2025-06-07,430,37,0.866,Smt_Control
B1788,2025-06-07,89,17,1.0,Legacy_Kernel
B1789,2025-06-07,79,12,0.943,Smt_Control
B1790,2025-06-08,415,33,0.922,Smt_Data
B1791,2025-06-08,36,12,1.0,Legacy_Kernel
B1792,2025-06-08,26,13,0.991,Smt_Control
B1793,2025-06-08,605,48,0.979,Legacy_Kernel
B1794,2025-06-08,14,10,0.972,Smt_Data
B1795,2025-06-09,89,17,1.0,Legacy_Kernel
B1796,2025-06-09,25,11,0.914,Smt_Process
B1797,2025-06-09,55,8,0.998,Smt_Process
B1798,2025-06-09,49,17,0.983,Smt_Process
B1799,2025-06-09,31,18,1.0,Smt_Control
B1800,2025-06-10,42,14,1.0,Legacy_Kernel
B1801,2025-06-10,70,18,0.954,Smt_Process
B1802,2025-06-10,54,19,1.0,Legacy_Kernel
B1803,2025-06-10,465,43,0.885,Smt_Process
B1804,2025-06-10,97,11,0.986,Smt_Data
B1805,2025-06-11,328,29,0.94,Smt_Control
B1806,2025-06-11,15,9,1.0,Smt_Data
B1807,2025-06-11,34,13,0.998,Legacy_Kernel
B1808,2025-06-11,59,22,0.986,Smt_Control
B1809,2025-06-11,90,11,1.0,Smt_Process
B1810,2025-06-12,15,7,0.999,Smt_Data
B1811,2025-06-12,71,11,0.998,Smt_Data
B1812,2025-06-12,679,53,0.822,Smt_Process
B1813,2025-06-12,30,13,0.989,Smt_Data
B1814,2025-06-12,75,23,0.855,Legacy_Kernel
B1815,2025-06-13,26,6,1.0,Smt_Process
B1816,2025-06-13,66,10,0.999,Legacy_Kernel
B1817,2025-06-13,40,16,0.957,Smt_Data
B1818,2025-06-13,586,58,0.899,Smt_Process
B1819,2025-06-13,76,12,0.947,Legacy_Kernel
B1820,2025-06-14,80,11,0.918,Smt_Data
B1821,2025-06-14,96,19,1.0,Smt_Data
B1822,2025-06-14,54,18,0.915,Smt_Control
B1823,2025-06-14,14,18,0.962,Smt_Process
B1824,2025-06-14,28,14,1.0,Smt_Control
B1825,2025-06-15,32,10,0.956,Smt_Control
B1826,2025-06-15,33,10,1.0,Smt_Process
B1827,2025-06-15,36,13,1.0,Smt_Process
B1828,2025-06-15,17,14,0.969,Smt_Control
B1829,2025-06-15,320,37,0.954,Legacy_Kernel
B1830,2025-06-16,24,20,1.0,Smt_Process
B1831,2025-06-16,660,62,0.895,Smt_Process
B1832,2025-06-16,98,17,0.98,Smt_Process
B1833,2025-06-16,79,14,1.0,Legacy_Kernel
B1834,2025-06-16,95,19,0.952,Legacy_Kernel
B1835,2025-06-17,49,11,1.0,Smt_Control
B1836,2025-06-17,435,40,0.881,Smt_Process
B1837,2025-06-17,41,9,0.965,Smt_Control
B1838,2025-06-17,24,13,0.946,Smt_Process
B1839,2025-06-17,507,46,0.911,Smt_Process
B1840,2025-06-18,75,24,0.92,Legacy_Kernel
B1841,2025-06-18,91,24,0.881,Smt_Process
B1842,2025-06-18,84,20,1.0,Smt_Control
B1843,2025-06-18,41,8,1.0,Smt_Data
B1844,2025-06-18,897,75,0.824,Smt_Control
B1845,2025-06-19,973,83,0.836,Smt_Data
B1846,2025-06-19,258,29,0.93,Smt_Process
B1847,2025-06-19,655,57,0.875,Smt_Process
B1848,2025-06-19,83,17,1.0,Smt_Process
B1849,2025-06-19,50,17,0.967,Smt_Control
B1850,2025-06-20,89,16,0.947,Smt_Control
B1851,2025-06-20,30,11,1.0,Smt_Data
B1852,2025-06-20,481,47,0.931,Smt_Data
B1853,2025-06-20,65,18,0.941,Smt_Process
B1854,2025-06-20,74,23,0.922,Smt_Data
B1855,2025-06-21,96,11,1.0,Smt_Process
B1856,2025-06-21,40,15,1.0,Smt_Data
B1857,2025-06-21,64,23,1.0,Legacy_Kernel
B1858,2025-06-21,24,19,0.95,Smt_Control
B1859,2025-06-21,30,7,0.934,Smt_Data
B1860,2025-06-22,16,12,0.992,Smt_Process
B1861,2025-06-22,15,6,0.963,Smt_Control
B1862,2025-06-22,51,14,1.0,Smt_Process
B1863,2025-06-22,44,13,1.0,Smt_Process
B1864,2025-06-22,48,15,1.0,Smt_Process
B1865,2025-06-23,63,16,0.981,Smt_Control
B1866,2025-06-23,24,10,1.0,Smt_Control
B1867,2025-06-23,24,19,0.985,Smt_Process
B1868,2025-06-23,477,43,0.888,Smt_Process
B1869,2025-06-23,217,29,1.0,Smt_Control
B1870,2025-06-24,35,9,1.0,Legacy_Kernel
B1871,2025-06-24,38,20,1.0,Legacy_Kernel
B1872,2025-06-24,49,14,1.0,Smt_Data
B1873,2025-06-24,23,15,1.0,Smt_Control
B1874,2025-06-24,314,29,0.915,Smt_Process
B1875,2025-06-25,655,50,0.898,Smt_Control
B1876,2025-06-25,16,14,0.973,Legacy_Kernel
B1877,2025-06-25,85,15,1.0,Smt_Data
B1878,2025-06-25,544,52,0.895,Legacy_Kernel
B1879,2025-06-25,65,22,0.979,Smt_Control
B1880,2025-06-26,44,13,0.996,Smt_Control
B1881,2025-06-26,60,18,0.984,Smt_Process
B1882,2025-06-26,54,9,0.944,Legacy_Kernel
B1883,2025-06-26,87,19,0.986,Smt_Control
B1884,2025-06-26,74,18,1.0,Smt_Control
B1885,2025-06-27,59,12,0.964,Smt_Control
B1886,2025-06-27,98,14,0.98,Smt_Control
B1887,2025-06-27,49,21,1.0,Legacy_Kernel
B1888,2025-06-27,23,13,1.0,Smt_Control
B1889,2025-06-27,89,14,0.992,Smt_Process
B1890,2025-06-28,512,48,0.965,Smt_Data
B1891,2025-06-28,18,8,1.0,Smt_Process
B1892,2025-06-28,665,62,0.878,Smt_Process
B1893,2025-06-28,56,19,0.962,Smt_Control
B1894,2025-06-28,24,6,1.0,Legacy_Kernel
B1895,2025-06-29,98,17,1.0,Smt_Control
B1896,2025-06-29,36,18,1.0,Smt_Process
B1897,2025-06-29,31,11,0.987,Smt_Control
B1898,2025-06-29,45,18,0.978,Smt_Process
B1899,2025-06-29,16,11,1.0,Legacy_Kernel
B1900,2025-06-30,50,11,0.906,Smt_Control
B1901,2025-06-30,45,10,0.942,Smt_Control
B1902,2025-06-30,46,8,0.969,Smt_Control
B1903,2025-06-30,80,14,0.987,Smt_Data
B1904,2025-06-30,30,12,1.0,Smt_Control
B1905,2025-07-01,41,20,0.975,Smt_Control
B1906,2025-07-01,10,7,0.918,Smt_Process
B1907,2025-07-01,14,11,0.91,Legacy_Kernel
B1908,2025-07-01,64,20,0.991,Smt_Data
B1909,2025-07-01,87,14,0.93,Smt_Control
B1910,2025-07-02,984,81,0.886,Smt_Data
B1911,2025-07-02,90,25,0.983,Smt_Control
B1912,2025-07-02,60,9,0.985,Smt_Data
B1913,2025-07-02,45,16,0.961,Smt_Data
B1914,2025-07-02,19,18,1.0,Smt_Data
B1915,2025-07-03,74,22,0.972,Smt_Control
B1916,2025-07-03,14,7,1.0,Smt_Data
B1917,2025-07-03,75,17,0.999,Legacy_Kernel
B1918,2025-07-03,913,76,0.927,Legacy_Kernel
B1919,2025-07-03,80,16,1.0,Smt_Data
B1920,2025-07-04,41,19,1.0,Smt_Control
B1921,2025-07-04,51,11,0.954,Smt_Control
B1922,2025-07-04,16,6,1.0,Smt_Process
B1923,2025-07-04,69,9,1.0,Legacy_Kernel
B1924,2025-07-04,88,13,1.0,Legacy_Kernel
B1925,2025-07-05,13,9,0.993,Legacy_Kernel
B1926,2025-07-05,39,8,0.966,Smt_Control
B1927,2025-07-05,32,8,0.969,Smt_Data
B1928,2025-07-05,96,22,0.931,Legacy_Kernel
B1929,2025-07-05,87,21,0.986,Smt_Control
B1930,2025-07-06,467,39,0.914,Legacy_Kernel
B1931,2025-07-06,44,13,1.0,Smt_Control
B1932,2025-07-06,92,19,1.0,Smt_Data
B1933,2025-07-06,857,62,0.996,Smt_Control
B1934,2025-07-06,78,10,1.0,Legacy_Kernel
B1935,2025-07-07,402,31,0.957,Smt_Data
B1936,2025-07-07,72,15,0.947,Smt_Process
B1937,2025-07-07,42,13,0.951,Smt_Process
B1938,2025-07-07,74,10,0.987,Legacy_Kernel
B1939,2025-07-07,35,14,0.902,Smt_Process
B1940,2025-07-08,93,16,0.946,Legacy_Kernel
B1941,2025-07-08,383,42,0.917,Legacy_Kernel
B1942,2025-07-08,23,17,0.994,Smt_Control
B1943,2025-07-08,863,68,0.893,Legacy_Kernel
B1944,2025-07-08,65,23,1.0,Smt_Control
B1945,2025-07-09,30,20,0.995,Smt_Control
B1946,2025-07-09,20,7,0.917,Smt_Control
B1947,2025-07-09,30,14,0.953,Smt_Data
B1948,2025-07-09,298,31,0.983,Smt_Data
B1949,2025-07-09,721,55,0.961,Smt_Control
B1950,2025-07-10,42,16,0.93,Legacy_Kernel
B1951,2025-07-10,405,38,0.919,Legacy_Kernel
B1952,2025-07-10,96,13,0.96,Legacy_Kernel
B1953,2025-07-10,23,13,0.985,Smt_Control
B1954,2025-07-10,505,50,0.847,Smt_Process
B1955,2025-07-11,60,9,0.846,Smt_Process
B1956,2025-07-11,66,21,0.952,Smt_Process
B1957,2025-07-11,91,18,0.993,Smt_Data
B1958,2025-07-11,42,7,1.0,Smt_Control
B1959,2025-07-11,57,18,0.955,Legacy_Kernel
B1960,2025-07-12,87,15,0.95,Smt_Process
B1961,2025-07-12,96,19,0.939,Smt_Data
B1962,2025-07-12,71,10,0.963,Legacy_Kernel
B1963,2025-07-12,38,9,0.963,Smt_Data
B1964,2025-07-12,35,9,1.0,Smt_Process
B1965,2025-07-13,37,14,1.0,Smt_Process
B1966,2025-07-13,46,22,1.0,Smt_Control
B1967,2025-07-13,39,19,0.987,Smt_Control
B1968,2025-07-13,348,35,0.856,Smt_Control
B1969,2025-07-13,49,19,1.0,Smt_Data
B1970,2025-07-14,31,21,0.968,Smt_Process
B1971,2025-07-14,30,16,1.0,Smt_Control
B1972,2025-07-14,88,22,0.913,Legacy_Kernel
B1973,2025-07-14,82,23,0.938,Smt_Data
B1974,2025-07-14,52,13,1.0,Smt_Process
B1975,2025-07-15,17,19,0.952,Legacy_Kernel
B1976,2025-07-15,78,23,1.0,Legacy_Kernel
B1977,2025-07-15,206,31,0.986,Legacy_Kernel
B1978,2025-07-15,84,16,1.0,Smt_Data
B1979,2025-07-15,11,17,1.0,Legacy_Kernel
B1980,2025-07-16,49,19,1.0,Smt_Process
B1981,2025-07-16,54,21,0.963,Smt_Data
B1982,2025-07-16,388,43,0.903,Smt_Process
B1983,2025-07-16,83,21,0.955,Legacy_Kernel
B1984,2025-07-16,66,10,0.979,Legacy_Kernel
B1985,2025-07-17,68,20,0.919,Smt_Process
B1986,2025-07-17,23,15,1.0,Smt_Data
B1987,2025-07-17,78,15,0.98,Smt_Control
B1988,2025-07-17,207,31,1.0,Smt_Data
B1989,2025-07-17,13,18,1.0,Legacy_Kernel
B1990,2025-07-18,72,20,0.964,Legacy_Kernel
B1991,2025-07-18,97,20,1.0,Smt_Data
B1992,2025-07-18,801,72,0.939,Smt_Process
B1993,2025-07-18,862,74,0.834,Legacy_Kernel
B1994,2025-07-18,23,18,0.955,Smt_Control
B1995,2025-07-19,82,14,0.963,Smt_Control
B1996,2025-07-19,72,16,0.937,Legacy_Kernel
B1997,2025-07-19,85,16,1.0,Smt_Control
B1998,2025-07-19,466,47,0.993,Smt_Data
B1999,2025-07-19,78,17,0.939,Smt_Process
